Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,t
BSG,,0.33333333333333326,0.6666666666666665,0,0.6666666666666665,0,0.6666666666666665,-0.02604933036744377
CAV1,,0.33333333333333326,0,0.6666666666666665,-0.6666666666666665,0,-0.6666666666666665,0.6211350658093464
E2F1,P,0,1,0,1,1,1,-0.029805659005690707
E2F4,P,0,1,0,1,1,1,0.3273402058110667
EGFR,,0.5,0.16666666666666663,0.33333333333333326,-0.16666666666666663,0,-0.16666666666666663,1.0517209125855738
EGR1,P,0,1,0,1,1,1,-1.3411826309831427
FGFR1,,0.6666666666666665,0.33333333333333326,0,0.33333333333333326,0,0.33333333333333326,0.7009276096509078
HIF1A,P,0,1,0,1,1,1,-0.37595083927143297
IRS1,,0.8333333333333335,0,0.16666666666666663,-0.16666666666666663,0,-0.16666666666666663,0.9586599402326218
JUN,P,0,1,0,1,1,1,0.8847499631187621
LDHA,,0.6666666666666665,0.33333333333333326,0,0.33333333333333326,0,0.33333333333333326,0.193049702825409
MAPK1,,0.8333333333333335,0,0.16666666666666663,-0.16666666666666663,0,-0.16666666666666663,0.4173948118289817
MAPK14,,0.5,0.5,0,0.5,0,0.5,-0.10005060041549478
MAPK3,,0.8333333333333335,0,0.16666666666666663,-0.16666666666666663,0,-0.16666666666666663,-0.8200158594968523
Metab__D-Glucitol_c,M,0,1,0,1,1,1,NA
Metab__D-Glucose_c,,0,1,0,1,0,1,NA
Metab__L-Lactic acid_c,M,0,1,0,1,1,1,NA
Metab__L-Lactic acid_m,M,0,1,0,1,1,1,NA
NFKB1,P,0,1,0,1,1,1,1.1715312352185006
parent_of_HMDB0000122_c,,0,1,0,1,0,1,NA
parent_of_HMDB0000190_c,,0,1,0,1,0,1,NA
parent_of_HMDB0000190_m,,0,1,0,1,0,1,NA
parent_of_HMDB0000247_c,,0,1,0,1,0,1,NA
PLK1,,0.8333333333333335,0.16666666666666663,0,0.16666666666666663,0,0.16666666666666663,1.0795996260502827
PTPN1,,0.8333333333333335,0.16666666666666663,0,0.16666666666666663,0,0.16666666666666663,-0.23817026720928025
RELA,P,0,1,0,1,1,1,1.2483436879403556
SLC2A1,,0,1,0,1,0,1,1.4250781067817526
SP1,P,0,1,0,1,1,1,-0.25584678467620686
STAT1,P,0,1,0,1,1,1,1.0368763418899971
TP53,,0.8333333333333335,0,0.16666666666666663,-0.16666666666666663,0,-0.16666666666666663,-1.0254170596200585
