source,target,sign,Weight
SMAD3,JUN,1,TRUE
ETV4,TIMP1,1,TRUE
JDP2,LGALS1,-1,TRUE
SP1,TGFB1,1,TRUE
RUNX2,RUNX2,1,TRUE
JUN,ATF2,1,TRUE
ATF2,JUN,1,TRUE
SP1,SP1,1,TRUE
JUN,THBS1,1,TRUE
JUND,JUND,1,TRUE
SP1,SP3,1,TRUE
SP3,SP1,1,TRUE
JUN,JUN,1,TRUE
SP1,FN1,1,TRUE
JUN,FN1,1,TRUE
SP1,HMGA2,1,TRUE
SP3,HMGA2,1,TRUE
JUND,NR4A1,1,TRUE
HR,VEGFA,1,TRUE
STAT3,STAT3,1,TRUE
STAT1,VIM,1,TRUE
SMAD3,TGFB1,1,TRUE
STAT3,VEGFA,1,TRUE
SP1,PKM,1,TRUE
SP3,PKM,1,TRUE
SP1,LGALS1,1,TRUE
SP1,VIM,1,TRUE
SP1,VEGFA,1,TRUE
SP3,VEGFA,1,TRUE
STAT1,ICAM1,1,TRUE
STAT3,ICAM1,1,TRUE
STAT3,TGFB1,1,TRUE
JUN,VEGFA,1,TRUE
JUND,TIMP1,1,TRUE
SP1,TIMP1,1,TRUE
STAT1,STAT1,1,TRUE
NFATC1,NFATC1,1,TRUE
SP1,HRAS,1,TRUE
JUN,APP,1,TRUE
SMARCA1,SMARCA1,1,TRUE
SP1,ICAM1,1,TRUE
SMAD3,LAMC1,1,TRUE
HR,TIMP1,1,TRUE
ATF4,ATF4,1,TRUE
SP1,LAMC1,1,TRUE
JDP2,JUN,-1,TRUE
SMAD3,FN1,1,TRUE
KLF10,SMAD3,1,TRUE
SP3,SP3,1,TRUE
JUN,TIMP1,1,TRUE
ATF2,ATF2,1,TRUE
JUN,LGALS3,1,TRUE
TFAP4,TGFB1,1,TRUE
JDP2,ATF2,-1,TRUE
TFAP4,APP,1,TRUE
STAT1,LGALS3,1,TRUE
SP1,APP,1,TRUE
STAT3,VIM,1,TRUE
ATF4,VEGFA,1,TRUE
RUNX2,TIMP1,1,TRUE
RUNX2,VEGFA,1,TRUE
STAT1,JUN,1,TRUE
SMAD3,APP,1,TRUE
SP1,TIMP2,1,TRUE
HR,ICAM1,1,TRUE
JUN,TGFB1,1,TRUE
SNAI2,SNAI2,1,TRUE
TFAP4,TFAP4,1,TRUE
JUN,VIM,1,TRUE
HR,TGFB1,1,TRUE
STAT3,TIMP1,1,TRUE
MTA1,VEGFA,1,TRUE
ATF2,TIMP1,1,TRUE
JUN,SP1,1,TRUE
SP1,JUN,1,TRUE
ATF2,TGFB1,1,TRUE
ATF2,ATF4,1,TRUE
ATF4,ATF2,1,TRUE
SP1,SNAI2,1,TRUE
ZEB1,FN1,1,TRUE
ZEB1,VIM,1,TRUE
SP3,VIM,1,TRUE
TCF7L2,RUNX2,1,TRUE
NFATC1,FN1,1,TRUE
PPARD,TGFB1,1,TRUE
SP1,NFATC1,1,TRUE
SP1,SMARCA1,1,TRUE
JUN,SP3,1,TRUE
RUNX2,LGALS3,1,TRUE
HMGA2,HMGA2,1,TRUE
JUN,LIF,1,TRUE
JUN,PPARD,1,TRUE
STAT3,SP1,1,TRUE
SMAD3,VEGFA,1,TRUE
ETV4,VEGFA,1,TRUE
JUND,TGFB1,1,TRUE
NFATC1,ICAM1,1,TRUE
KLF10,TGFB1,1,TRUE
RUNX2,FN1,1,TRUE
ATF4,VIM,1,TRUE
SNAI2,RUNX2,1,TRUE
RUNX2,SNAI2,1,TRUE
DNMT3A,TIMP2,-1,TRUE
STAT1,SMAD3,1,TRUE
PPARD,CALR,1,TRUE
JDP2,VIM,-1,TRUE
HMGA2,VIM,1,TRUE
ATF4,RUNX2,1,TRUE
NFATC1,VEGFA,1,TRUE
MTA1,MTA1,1,TRUE
SP1,SMAD3,1,TRUE
JUN,NR4A1,1,TRUE
NR4A1,JUN,1,TRUE
SP1,ADAM15,1,TRUE
SP1,SERPINE2,1,TRUE
SP1,ATF2,1,TRUE
ATF2,FN1,1,TRUE
NFATC1,TIMP1,1,TRUE
KLF10,RUNX2,1,TRUE
SNAI2,STAT1,1,TRUE
SP3,APP,1,TRUE
STAT3,STAT1,1,TRUE
STAT1,STAT3,1,TRUE
ID2,LGALS1,-1,TRUE
PPARD,VEGFA,1,TRUE
SNAI2,VIM,1,TRUE
DNMT3A,VEGFA,-1,TRUE
SP1,JUND,1,TRUE
MTA1,VIM,1,TRUE
TFAP4,FN1,1,TRUE
RUNX2,THBS1,1,TRUE
SP1,THBS1,1,TRUE
SP1,GNAI2,1,TRUE
PPARD,NAMPT,1,TRUE
JUN,JUND,1,TRUE
ATF4,STAT3,1,TRUE
SP1,LGALS3,1,TRUE
HMGA2,JUN,1,TRUE
HR,LAMB1,1,TRUE
ETV4,VIM,1,TRUE
SMARCA1,LGALS1,1,TRUE
JUN,ICAM1,1,TRUE
STAT3,LIF,1,TRUE
ETV4,ETV4,1,TRUE
HR,FN1,1,TRUE
SP1,PSAP,1,TRUE
SP3,PSAP,1,TRUE
SP3,TIMP1,1,TRUE
ETV4,TIMP2,1,TRUE
JUN,NAMPT,1,TRUE
JUN,RUNX2,1,TRUE
JUN,TIMP2,1,TRUE
MTA1,SNAI2,1,TRUE
NR4A1,TIMP2,1,TRUE
PPARD,TIMP1,1,TRUE
SP1,COL18A1,1,TRUE
SP1,MTA1,1,TRUE
SP1,NR4A1,1,TRUE
SP3,TIMP2,1,TRUE
STAT1,APP,1,TRUE
STAT1,TIMP1,1,TRUE
TCF4,JUN,1,TRUE
TCF4,VEGFA,1,TRUE
TCF4,VIM,1,TRUE
TCF7L2,SNAI2,1,TRUE
STAT3,TCF7L2,1,TRUE
TCF7L2,STAT3,1,TRUE
SP3,TGFB1,1,TRUE
SP1,COL6A1,1,TRUE
SP1,RUNX2,1,TRUE
TCF7L2,VIM,1,TRUE
SMAD3,COL6A1,1,TRUE
SMAD3,TIMP1,1,TRUE
SMAD3,VIM,1,TRUE
JUN,COL6A1,1,TRUE
NFATC1,LIF,1,TRUE
ZEB1,TGFB1,1,TRUE
ETV4,TGFB1,1,TRUE
MTA1,GNAI2,1,TRUE
NFATC1,LTBP3,1,TRUE
PPARD,FN1,1,TRUE
STAT1,HSPG2,1,TRUE
STAT3,FN1,1,TRUE
STAT3,APP,1,TRUE
STAT3,HRAS,1,TRUE
TCF4,ID2,-1,TRUE
JUN,LAMB1,1,TRUE
JUN,STAT3,1,TRUE
TCF7L2,VEGFA,1,TRUE
TCF7L2,ZEB1,1,TRUE
TCF7L2,JUN,1,TRUE
TFAP4,VIM,1,TRUE
STAT3,ANXA1,1,TRUE
STAT3,HMGA2,1,TRUE
PBX1,PBX1,1,TRUE
PBX1,VIM,1,TRUE
STAT1,SEMA4B,1,TRUE
