Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights
ABL1,1,0,1,0,1,1,1,1,2.59365874217639
ADAM17,2,0.5,0.5,0,0.5,0,0.5,1,NA
AKT1,1,0,1,0,1,1,1,1,1.8920008628401677
ATM,0,0,0,1,-1,0,-1,-1,1.2418792113999089
AXIN1,1,0,0,1,-1,1,-1,-1,-0.5157123690620454
BCAR1,1,0,1,0,1,1,1,1,2.1190282628575683
CAV1,3,0,1,0,1,0.5,1,1,2.5482454200585973
CCNA2,1,0,0,1,-1,1,-1,-1,-1.1750898811245374
CCNE1,1,0,0,1,-1,1,-1,-1,-2.1280160535264003
CDK2,1,0,0,1,-1,1,-1,-1,-0.653249380673646
CHEK1,1,0,0,1,-1,1,-1,-1,-0.9718768807332704
CHUK,1,0,0,1,-1,1,-1,-1,-0.832199153175229
CREB5,1,0,1,0,1,1,1,1,2.2464431932597098
CREBBP,0,0,0,1,-1,0,-1,-1,0.9016556009043312
CSNK2B,1,0,1,0,1,1,1,1,1.756436019943014
CTNNB1,0,0,0,1,-1,0,-1,-1,0.3075365187224945
DAG1,1,0,1,0,1,1,1,1,2.8983913383233317
E2F2,1,0,0,1,-1,1,-1,-1,-4.203531127709861
E2F3,1,0,0,1,-1,1,-1,-1,-1.6552974912711649
EGFR,3,0,1,0,1,1,1,1,1.4011488560276288
EIF4E,1,0,1,0,1,1,1,1,1.623282692166483
ELAVL1,1,0,1,0,1,1,1,1,4.343448020530594
EPAS1,1,0,1,0,1,1,1,1,7.288256747725371
EPHA2,1,0,0,1,-1,1,-1,-1,-0.014643691031338
EPHB2,3,0,1,0,1,1,1,1,2.941237734032235
ERBB2,3,0,0,1,-1,1,-1,-1,-0.3803495851880559
ETS1,1,0,1,0,1,1,1,1,8.358150846373533
ETS2,1,0,1,0,1,1,1,1,2.714000193029335
FOS,1,0,1,0,1,1,1,1,13.211649660329831
FOSL1,1,0,1,0,1,1,1,1,5.904096979570688
FOSL2,1,0,1,0,1,1,1,1,8.528610779063825
GATA2,1,0,1,0,1,1,1,1,7.290569253586667
GSK3B,1,0,1,0,1,1,1,1,2.5358415995137644
HIF1A,1,0,1,0,1,1,1,1,8.057728853867147
HRAS,2,0,1,0,1,1,1,1,3.54584928296538
HRAS,2,0,1,0,1,1,1,1,2.288820271814524
IKBKG,1,0,1,0,1,1,1,1,1.7802026920194187
IRF3,1,0,0,1,-1,1,-1,-1,-2.188369488610287
ITGAV,3,0,1,0,1,1,1,1,2.638047148742996
ITGB1,3,0,1,0,1,1,1,1,3.605959078391144
ITGB5,3,0,1,0,1,1,1,1,2.7289166273099905
JUN,1,0,1,0,1,1,1,1,6.289921481510688
JUNB,1,0,1,0,1,1,1,1,4.298810811014016
KITLG,1,0,1,0,1,1,1,1,2.2384960699688605
MAP2K1,1,0,1,0,1,1,1,1,1.9184337860697405
